"Rep_trt_id","Treatment_id","Treatment.x","Rep","Ryegrass.cultivar","Sowing.rate..kg.ha.","PlotID","gg_sample_Date","Mean.m.2","stdev","se..mean.","year","rs_sample_Date","grazing_date","days_snc_lst_graze","Blue","GLI","Green","IR","MSAVI","NDVI","NGRDI","Red","RedEdge","reNDVI","month","day","OBJECTID","Treatment.y","Lat","Long","Shape_Length","Shape_Area"
"R1T1",1,"Nui  30 Rep 1",1,"Nui",30,1,"10/04/2014",25.5,0.4,16.99,2014,"23/02/2014","24/01/2014",30,4375.903403,0.123264527,3988.794129,13676.00117,0.864363745,0.761405799,0.367321604,1849.412162,4617.785705,0.494578568,2,23,1,"30 kg/ha",617828,5167369,67.3137281323437,109.51843202372
"R1T1",1,"Nui  30 Rep 1",1,"Nui",30,1,"10/04/2014",25.5,0.4,16.99,2014,"27/03/2014","26/03/2014",1,4326.048762,0.064047018,3829.970782,6155.519647,0.606381275,0.436133588,0.227357302,2414.377992,3814.969365,0.234223616,3,27,1,"30 kg/ha",617828,5167369,67.3137281323437,109.51843202372
"R1T1",1,"Nui  30 Rep 1",1,"Nui",30,1,"10/04/2014",25.5,0.4,16.99,2014,"20/04/2014","26/03/2014",25,3097.391847,0.103800508,2786.037289,4836.174324,0.704048428,0.543679778,0.322389961,1427.830934,2429.08358,0.33100218,4,20,1,"30 kg/ha",617828,5167369,67.3137281323437,109.51843202372
"R1T1",1,"Nui  30 Rep 1",1,"Nui",30,1,"10/04/2014",25.5,0.4,16.99,2014,"5/05/2014","26/03/2014",40,2904.145774,0.061732778,2272.122167,5705.753623,0.804354087,0.673277936,0.343322248,1111.207584,2515.031551,0.387549753,5,5,1,"30 kg/ha",617828,5167369,67.3137281323437,109.51843202372
"R1T1",1,"Nui 6 Rep 1",1,"Nui",6,2,"10/04/2014",51,0.7,28.17,2014,"23/02/2014","24/01/2014",30,4390.145251,0.130179108,4065.757253,14286.45339,0.868898786,0.768339588,0.370644032,1868.03083,4625.458168,0.51041634,2,23,2,"6 kg/ha",617828,5167373,67.3137984910447,109.519644241134
"R1T1",1,"Nui 6 Rep 1",1,"Nui",6,2,"10/04/2014",51,0.7,28.17,2014,"27/03/2014","26/03/2014",1,4277.053444,0.074685352,3827.926271,6136.920051,0.621225427,0.451614351,0.246775404,2316.153685,3878.345873,0.225127385,3,27,2,"6 kg/ha",617828,5167373,67.3137984910447,109.519644241134
"R1T1",1,"Nui 6 Rep 1",1,"Nui",6,2,"10/04/2014",51,0.7,28.17,2014,"20/04/2014","26/03/2014",25,3190.518801,0.111741045,2867.831494,4898.571375,0.715319838,0.557209167,0.346647169,1391.902307,2493.35528,0.325256031,4,20,2,"6 kg/ha",617828,5167373,67.3137984910447,109.519644241134
"R1T1",1,"Nui 6 Rep 1",1,"Nui",6,2,"10/04/2014",51,0.7,28.17,2014,"5/05/2014","26/03/2014",40,2881.918753,0.068100607,2254.240103,5844.010834,0.819354936,0.694310753,0.363608054,1053.081987,2514.669215,0.39804668,5,5,2,"6 kg/ha",617828,5167373,67.3137984910447,109.519644241134
"R2T2",2,"Alto  30 Rep 2",2,"Alto",30,11,"10/04/2014",12.7,0.3,12.74,2014,"23/02/2014","24/01/2014",30,4171.793694,0.151727337,4072.860288,14112.09935,0.869926064,0.769890629,0.379739771,1831.05452,4617.495917,0.506286838,2,23,11,"30 kg/ha",617823,5167405,67.313404537017,109.517828856785
"R2T2",2,"Alto  30 Rep 2",2,"Alto",30,11,"10/04/2014",12.7,0.3,12.74,2014,"27/03/2014","26/03/2014",1,4333.738292,0.075677825,3898.976062,6060.433086,0.60853329,0.437818913,0.244646931,2367.335968,3914.07119,0.214838404,3,27,11,"30 kg/ha",617823,5167405,67.313404537017,109.517828856785
"R2T2",2,"Alto  30 Rep 2",2,"Alto",30,11,"10/04/2014",12.7,0.3,12.74,2014,"20/04/2014","26/03/2014",25,3105.156146,0.117926706,2927.264512,5166.844682,0.706801137,0.546848898,0.318550965,1511.826758,2532.192982,0.342035222,4,20,11,"30 kg/ha",617823,5167405,67.313404537017,109.517828856785
"R2T2",2,"Alto  30 Rep 2",2,"Alto",30,11,"10/04/2014",12.7,0.3,12.74,2014,"5/05/2014","26/03/2014",40,2814.474944,0.05858022,2175.433755,6369.586913,0.834756291,0.716411187,0.347654014,1051.953089,2548.874062,0.428106055,5,5,11,"30 kg/ha",617823,5167405,67.313404537017,109.517828856785
"R2T2",2,"Alto 6 Rep 2",2,"Alto",6,12,"10/04/2014",0,0,0,2014,"23/02/2014","24/01/2014",30,4256.835701,0.144684355,4084.17519,14134.34845,0.868840791,0.768159633,0.37635515,1850.66822,4663.724257,0.503286027,2,23,12,"6 kg/ha",617823,5167409,67.3134873804596,109.519280061916
"R2T2",2,"Alto 6 Rep 2",2,"Alto",6,12,"10/04/2014",0,0,0,2014,"27/03/2014","26/03/2014",1,4348.033936,0.06931089,3908.076651,6071.132819,0.59491352,0.4237905,0.228507419,2455.513961,3916.532305,0.215359604,3,27,12,"6 kg/ha",617823,5167409,67.3134873804596,109.519280061916
"R2T2",2,"Alto 6 Rep 2",2,"Alto",6,12,"10/04/2014",0,0,0,2014,"20/04/2014","26/03/2014",25,3169.258584,0.096091535,2836.643254,5162.424255,0.706631578,0.546816094,0.305347192,1509.837494,2609.715605,0.328289618,4,20,12,"6 kg/ha",617823,5167409,67.3134873804596,109.519280061916
"R2T2",2,"Alto 6 Rep 2",2,"Alto",6,12,"10/04/2014",0,0,0,2014,"5/05/2014","26/03/2014",40,2841.496874,0.06607835,2233.258074,6451.756869,0.83418573,0.715563771,0.352108971,1069.309168,2548.434524,0.433407009,5,5,12,"6 kg/ha",617823,5167409,67.3134873804596,109.519280061916
"R2T1",1,"Nui  30 Rep 2",2,"Nui",30,19,"10/04/2014",101.9,1,41.61,2014,"23/02/2014","24/01/2014",30,4320.323885,0.11763062,3892.328824,13761.89677,0.867181567,0.765653948,0.362106924,1821.709255,4464.160121,0.509511264,2,23,19,"30 kg/ha",617819,5167434,67.3131744676419,109.51850374472
"R2T1",1,"Nui  30 Rep 2",2,"Nui",30,19,"10/04/2014",101.9,1,41.61,2014,"27/03/2014","26/03/2014",1,4295.285801,0.077555051,3937.26933,6013.975868,0.591908295,0.421431446,0.234244618,2447.293853,3932.644452,0.208816631,3,27,19,"30 kg/ha",617819,5167434,67.3131744676419,109.51850374472
"R2T1",1,"Nui  30 Rep 2",2,"Nui",30,19,"10/04/2014",101.9,1,41.61,2014,"20/04/2014","26/03/2014",25,3279.659873,0.086281741,2878.73114,4878.887964,0.679159371,0.514433514,0.296258227,1562.690328,2476.429675,0.326593033,4,20,19,"30 kg/ha",617819,5167434,67.3131744676419,109.51850374472
